Chem_name,SimpleTruth,Dial,Dove,Native,S1_Cntrl_201103,S1_Cntrl_201110,S1_Cntrl_201111,S1_Cntrl_201112,S1_SimpleTruth_201111,S1_Dial_201112,S1_Dove_201103,S1_Native_201110,S1SimpleTruth_210317,S1Dial_210317,S1Dove_210223,S1Native_210312,S1SimpleTruth_210318,S1Dial_210318,S1Dove_210317,S1Native_210317,S2_Cntrl_201117,S2_Cntrl_201125,S2_Cntrl_201208,S2_Cntrl_201209,S2_SimpleTruth_201117,S2_Dial_201209,S2_Dove_201208,S2_Native_211125,S2SimpleTruth_210303,S2Dial_210224,S2Dove_210224,S2Native_210303,S2SimpleTruth_210308,S2Dial_210308,S2Dove_210308,S2Native_210308,S3_Cntrl_201118,S3_Cntrl_201119,S3_Cntrl_201209,S3_Cntrl_201211,S3_SimpleTruth_201209,S3_Dial_201118,S3_Dove_201211,S3_Native_201119,S3SimpleTruth_210302,S3Dial_210311,S3Dove_210311,S3Native_210302,S3SimpleTruth_210309,S3Dial_210318,S3Dove_210318,S3Native_210309,S4_Cntrl_201204,S4_Cntrl_201207,S4_Cntrl_201201,S4_Cntrl_201203,S4_SimpleTruth_201203,S4_Dial_201204,S4_Dove_201207,S4_Native_201201,S4SimpleTruth_210223,S4Dial_210222,S4Dove_210222,S4Native_210223,S4SimpleTruth_210316,S4Dial_210226,S4Dove_210226,S4Native_210316,New_sample
alpha-Terpinene,0,8.695,2.661,0,0,0,0,0,0,0,0,0,0,2.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.723,0,0,0,0,0,0,0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0,1.104,7.487,0,0,0,0,0,0,0,0,0,0,4.053,0,0,0.552,1.3780000000000001,69.357,0,0,0,0,0,0,0,0,0,0,1.4779999999999998,1.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(E)-2-((8R,8aS)-8,8a-Dimethyl-3,4,6,7,8,8a-hexahydronaphthalen-2(1H)-ylidene)propanal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1470000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.263,0,0,0,0,0,0,0,0,0,0,0,1.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.195,0,0,0,0,0,0
(R)-(-)-(Z)-14-Methyl-8-hexadecen-1-ol,0,0,0,0,0,0,0,0,0.107,0,0,0,0,0,0,0,0,0,0,0,0.107,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,1.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107
"(Z)-2,2-Dimethyl-3-(3-methylpenta-2,4-dien-1-yl)oxirane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.072,0,0,0,0,0,0,0,0,0,0,0,1.137,0,1.0030000000000001,1.271,0.742,0,0,0,0,0,0,0,0,14.744,3.082,0,1.605,0,0,0,0,0,0,0,0,0,0,0,0,1.7100000000000002,0,0,5.953,0,2.248,1.8079999999999998,1.2149999999999999,0
1-(1-Methoxypropan-2-yloxy)propan-2-yl acetate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0,0,0,0,0,0,0,0,0,18.793,0,0,0,0,18.792999999999999
"1-Decanol, 2-hexyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0,0,0.405,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823,0,0.34299999999999997,0,0.491,0.159,0,0,0,0,0,0,0,0,0,0
1-Dodecanol,4.0810000000000004,4.504,2.36,2.964,0,0,2.7510000000000003,0,3.476,0.538,0,0,0.9139999999999999,1.443,0.806,0,1.749,0.656,12.883,0.832,0,0.524,0,0,0,0,0,1.066,0.953,2.5740000000000003,2.315,2.121,4.17,1.924,0.9650000000000001,4.17,0,0,0,0,0.532,0,0,0,0,0,0,0,0,0,9.968,2.799,0,0.851,0,0,0,0,0,0,0,3.032,0,0,0,0,0,0,0.96500000000000008
1-Hexadecanol,0,1.991,0,0,0,0,0,0.131,0,0,0,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23199999999999998,0,0,0,0,0,0,0,0,0,0,0,0,14.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Penten-3-one, 1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",0,9.499,23.149,0,0,0,0,0,0,2.784,1.938,0,0,10.346,14.126000000000001,0,0,3.149,162.152,0,0,0,0,0,0,6.555999999999999,5.07,0,0,13.468,18.278000000000002,0,0,5.435,22.864,0,0,0,0,0,0,4.47,5.8469999999999995,0,0,0,6.887,0,0,4.47,269.022,0,0,0,0,0,0,2.413,10.275,0,0,20.429,4.776,0,0,0,3.6149999999999998,0,4.47
"1,3-Diacetin",0,0,3.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852,0,0,1.6680000000000001,0,0,0,0.255,0.287,0.396,0,0.346,0,0,0,0.5559999999999999,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,1.363,0,0,0,0,0,0
"1,5,7-Octatrien-3-ol, 2,6-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,1.212,0,0,0.531,0,0,0,0,0,0,0,0,0,0,0,0,0.607,0,0,0.613,0,0,0,0,0,0,0,0,0,0,0,0,13.758,0.931,0.635,0.5559999999999999,0.516,0,0,1.855,0,0,0,0,0,0,0,0,0.5680000000000001,0,0,0,0,0,0.732,0,1.212
11-Methyldodecanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0,0,3.593,1.6239999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1H-3a,7-Methanoazulene, 2,3,6,7,8,8a-hexahydro-1,4,9,9-tetramethyl-, (1a,3aa,7a,8aß)-",0,0,35.657000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-(4a,8-Dimethyl-6-oxo-1,2,3,4,4a,5,6,8a-octahydro-naphthalen-2-yl)-propionaldehyde",0,1.2970000000000002,1.974,0,0,0,0,0,0,0.525,0,0,0,1.6600000000000001,0.836,0,0,0.675,23.477,0,0,0,0,0,0,1.4480000000000002,1.494,0,0,0,1.135,0,0,2.7239999999999998,1.513,0,0,0,0,0,0,0.7929999999999999,0.436,0,1.102,1.369,0,0,0,0.7929999999999999,38.955,0,0,0,0,0,0,0.524,0.718,0,0,16.497,0,0,0,0,0,0,0
"2-Butanone, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",0,0,2.1,0,0,0,0,0,0,0,0.20299999999999999,0,0,0,3.436,0,0,0,44.93299999999999,0,0,0,0,0,0,0,1.3439999999999999,0,0,0,5.406,0,0,0,4.469,0,0,0,0,0,0,0,1.323,0,0,0,1.1949999999999998,0,0,0,49.711,0,0,0,0,0,0,0,2.413,0,0,0,2.016,0,0,0,0.752,0,0
"2-Piperidinone, N-[4-bromo-n-butyl]-",0,0,0,0,0,0,0.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22100000000000003,0,0,0.179,1.102,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0.28,0.16699999999999998,0,0,0,2.8339999999999996,0,0,0,0.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16600000000000001
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0,0,0,0,0,0,0,0,0,0,0,0,0,0.775,1.6900000000000002,0,0,0,0,0,0,0.597,0,0,0,0,0,0.747,0,0,1.3860000000000001,1.554,2.156,1.12,1.5,2.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,3.4560000000000004,0,0,0,0,0,0,0
"2,2,7,7-Tetramethyltricyclo[6.2.1.0(1,6)]undec-4-en-3-one",0,0,0,0,0,0,0,0,0,0.363,0,0,0,0,0,0,0.581,0,0,0,0,0,0,0,0,0,0,0.194,0,0,0,0.7679999999999999,0,0.6679999999999999,0,0,0,0,0,0,0.356,0,0,0,0,0.9039999999999999,1.367,0,0.5700000000000001,0,0,2.1,0.287,0,0,0,0,0,0,0,0,0,0,3.831,0,0,0,0,0
"2,3-Nonadiene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7199999999999998,2.107,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512,0,0
